index,ID
GEORG 2.,peGeorgII
SILLE (Cecilie Marie) f. Gade JØRGENSEN,peCMJorg
AFTENBLADET,orgAftb
AFTENPOSTEN,orgAftp
BANCO NAPOLETANA,orgBanNap
BERGENS NATIONALE SCENE,orgNatSc
BERGENS THEATERFORENING,orgTeatB
BERLINGSKE TIDENDE,orgBerTid
BURGTHEATER,orgBurg
CHRISTIANIA BYFOGEDCONTOR,orgCB
CHRISTIANIA THEATER,orgChrTh
CHRISTIANIA-POSTEN,orgCPo
DAGBLADET,orgDagbl
DAGS-TELEGRAPHEN,orgDT
DEN FRISINNEDE STUDENTERFORENING,orgFriStud
DEN GYLDENDALSKE BOGHANDEL,orgGyl
DEN NORSKE FORFATTERFORENING,orgDnFo
DEN SKANDINAVISKE FORENING I ROMA,orgSF
DET AKADEMISKE KOLLEGIUM,orgAkKoll
DET BRITISK-SKANDINAVISKE SELSKAB,orgBsS
DET KONGELIGE NORSKE VIDENSKABERS SELSKAB,orgKNVS
DET KONGELIGE THEATER I KØBENHAVN,orgKT
DET NORSKE STUDENTERSAMFUND,orgStud
DET NORSKE THEATER I BERGEN,orgNTB
DEUTSCHE GENOSSENSCHAFT DRAMATISCHER AUTOREN UND COMPONISTEN,orgDGen
DEUTSCHES VOLKSTHEATER,orgDV
DIREKSJONEN FOR DAMPSKIPET DRONNINGEN,orgDampD
DRESDNER BEZIRKS-GERICHTS-AMT,orgDresBGA
FELIX BLOCH ERBEN,orgFBE
FINANTS- OG TOLDDEPARTEMENTET (FINANSDEPARTEMENTET),orgFinDep
GIORDANO BRUNO-KOMITEEN,orgGBkom
HOHLENBERG,orgHoh
HOTEL GRÖBNER,orgHotG
ILLUSTRERET NYHEDSBLAD,orgIN
JENSEN CO.,orgJComp
"KIRKE- OG UNDERVISNINGSDEPARTEMENTET, eller: DEPARTEMENTET FOR KIRKE- OG UNDERVISNINGSVESENET, gjerne forkortet: KIRKEDEPARTEMENTET",orgKdep
"KIRKE- OG UNDERVISNINGSMINISTERIET, eller: MINISTERIET FOR KIRKE- OG UNDERVISNINGSVÆSEN, vanligvis kalt KULTUSMINISTERIET",orgKUMin
KOMITÉEN FOR TUSENÅRSFESTEN I BERLIN,orgKomTB
KONGEN,orgKong
KONGL. DRAMATISKA THEATERN,orgKDTS
KONGL. THEATRARNE I STOCKHOLM,orgKoTh
KRISTIANIA ARBEIDERSAMFUND,orgKrArb
KRISTIANIA JOURNALISTKLUB,orgJour
KRISTIANIA LIGNINGSKOMMISJON,orgKrLign
KRISTIANIA NORSKE THEATER,orgKNT
KRISTIANIA VESTRE ARBEIDERSAMFUND,orgKrVArb
LANDBRUKSDEPARTEMENTET,orgLdep
MÜNCHENER NEUESTE NACHRICHTEN,orgMNN
NATIONALTHEATRET,orgNatTh
NATIONALTIDENDE,orgNat
NEUE ZEIT : WOCHENSCHRIFT FÜR DEUTSCHES THEATER UND URHEBERRECHT,orgNeuZ
NORSKE INTELLIGENSSEDLER,orgNoInt
NORSK KVINDESAGSFORENING,orgNoKvin
NY JORD,orgNJo
ODELSTINGET,orgOdel
PHILIPP RECLAM JUN.,orgPR
POLITIKEN,orgPolit
PRESSENS TIVOLIUGE,orgKomPT
ROGER,orgRog
SCHUSTER LOEFFLER,orgScLo
SKATMESTEREMBEDET VED DEN KONGELIGE NORSKE SANKT-OLAVS ORDEN,orgStOlav
S. REIERSEN COMP.,orgSRComp
STORA TEATERN (GÖTEBORG),orgGotT
STORTINGET,orgStort
STUDENTERFORENINGENS SENIORAT,orgStudSeni
STUDENTFORENINGEN FRAM,orgStudF
SVENSKA AKADEMIENS NOBELKOMMITTÉ,orgNOB
THRONDHJEMS THEATER,orgTT
TRONDHJEM STIFT[AMT],orgTS
VERDENS GANG,orgVG
 A,peHerrA
 ABD AL-QADIR eller: ABD EL-KADER,peAb
 ABDÜLAZIZ,peAbd
 CHRISTIAN [AUGUST RUDOLPH] ABELSTED,peCARA
 THEODOR ABILDGAARD,peTAb
 [JENSINE MARIE FREDERIKKE] CECILIE f. Holm ABRAHAMS,peCA
 FRITZ ABRAHAMS,peFrAb
 [JOHANNES HENRIK] SEVERIN ABRAHAMS,peJHSA
 [CARL JULIUS] THEODOR ACKERMANN,peTA
 LEOPOLD ADLER,peLAd
 [KARIN] SOPHIE f. Leijonhufvud ADLERSPARRE,peSA
 BERNHARD AFINGER,peBA
 [HENRIETTE ELISABETH] PAULINE [CHRISTINA] AHLBERG,peHEPCA
 ALEXANDER KARADJORDJEVIĆ (KARAGEORGEVIĆ),peAKar
 ALEXANDRA,peAlex
 BETTY (Hedvig Christina Elisabeth) f. Deland ALMLÖF,peBeAlm
 JOHAN LUDVIG ALSING,peJLA
 OLGA f. Cantacuzène ALTIERI,peOAl
 AMMIANUS MARCELLINUS,peAmm
 MICHAEL [PETER] ANCHER,peMA
 ANNE FREDRIKKE f. Sontum ANDERSEN,peAFA
 AXEL ANDERSEN,peAAn
 CARL [CHRISTIAN THORVALD] ANDERSEN,peCCTA
 HANS CHRISTIAN ANDERSEN,peHCA
 HILDUR ANDERSEN,peHA
 MATHILDE ANDERSEN,peMatA
 OLUF MARTIN ANDERSEN,peOMA
 THEODOR [VILHELM JACOB] ANDERSEN,peTAn
 VALBORG ANDERSEN,peVA
 RASMUS BJØRN ANDERSON,peRBA
 JUSTUS [HENRIK] ANDERSSEN,peJAn
