,title,type,date,ID,clearname,fullID
V18500415CLD,Hilsen i Christopher L. Dues stambok,greeting,1850-04-15,CLD,CHRISTOPHER [LORENTZ] DUE,peCLD
V18560226NN,Dedikasjon til ukjent mottaker i Gildet paa Solhoug,dedication,1856-02-26,NN,N/A,N/A
V1856HJ,Dedikasjon til Herman Johnson i Gildet paa Solhoug,dedication,1856,HJ,N/A,N/A
V18571004MB,Dedikasjon til Michael Birkeland i Fru Inger til Østeraad,dedication,1857-10-04,MB,MICHAEL BIRKELAND,peMB
V185712JCG,Dedikasjon til J. Chr. Gamborg i Fru Inger til Østeraad,dedication,1857-12,JCG,JOACHIM [CHRISTIAN] GAMBORG,peJCG
V1858kongO2,Dedikasjon til prins Oscar (senere Oscar II) i Hærmændene paa Helgeland,dedication,1858,kongO2,N/A,N/A
V1858CRU,Dedikasjon til Carl Richard Unger i Hærmændene paa Helgeland,dedication,1858,CRU,CARL RICHARD UNGER,peCRU
V1858KK,Dedikasjon til Knud Knudsen i Hærmændene paa Helgeland,dedication,1858,KK,KITTY (Christine Lange) KIELLAND,peKK
V1858CHo,Dedikasjon til Chr. Holst i Hærmændene paa Helgeland,dedication,1858,CHo,CHRISTIAN HOLST,peCHo
V18600819ABla,Dedikasjon til August Blanche i Hærmændene paa Helgeland,dedication,1860-08-19,ABla,AUGUST [THEODOR] BLANCHE,peABla
V1860Skand,Dedikasjon til Den skandinaviske Forening i Rom i Nytaarsgave for Illustreret Nyhedsblads Abonnenter av Paul Botten Hansen,dedication,1860,Skand,DEN SKANDINAVISKE FORENING I ROMA,orgSF
V18610410EZo,Dedikasjon til Emilie Zogbaum i et Ibsen-verk,dedication,1861-04-10,EZo,N/A,N/A
V1861Skand,Dedikasjon til Den skandinaviske Forening i Rom i Nytaarsgave for Illustreret Nyhedsblads Abonnenter av Paul Botten Hansen,dedication,1861,Skand,DEN SKANDINAVISKE FORENING I ROMA,orgSF
V1862Skand,Dedikasjon til Den skandinaviske Forening i Rom i Nytaarsgave for Illustreret Nyhedsblads Abonnenter av Paul Botten Hansen,dedication,1862,Skand,DEN SKANDINAVISKE FORENING I ROMA,orgSF
V1862WHo,Dedikasjon til Wilhelmine Holmboe (Schenstrøm) i Kjærlighedens Komedie,dedication,1862,WHo,WILHELMINE HOLMBOE (Wielma Lhombino) SCHENSTRØM,peWHo
V1862HK,Dedikasjon til Henriette Konow i Kjærlighedens Komedie,dedication,1862,HK,N/A,N/A
V1863BD,Dedikasjon til Bernhard Dunker i Kongs-Emnerne,dedication,1863,BD,[CARL CHRISTIAN HENRIK] BERNHARD DUNKER,peBD
V18640616NiFi,Dedikasjon til Niels Fischer i Kongs-Emnerne,dedication,1864-06-16,NiFi,N/A,N/A
